species,study_block,diet_name,Dieta,Tratamiento,Replica,byproduct_type,inclusion_pct,water_condition,processing,Proteína (%)_media,Proteína (%)_sd,Grasa (%)_media,Grasa (%)_sd,Fibra (%)_media,Fibra (%)_sd,Cenizas (%)_media,Cenizas (%)_sd,Carbohidratos (%)_media,Carbohidratos (%)_sd,ratio_P_C,ratio_P_F,ratio_Fibra_Grasa,TPC_dieta_media,TPC_dieta_sd,TPC_larva_media,TPC_larva_sd,FCR,Ganancia de peso (mg) por larva,Ganancia de peso (mg) media diaria por larva,Reducción (%) del sustrato (reducción de la masa de dieta suministrada),Reducción diaria (%) del sustrato (reducción diaria de la masa de dieta suministrada),Peso total de las larvas (g) al finalizar el periodo de alimentación,Peso total del sustrato (g) al finalizar el periodo de alimentación,PROTEINA (%),GRASA (%),QUITINA (%),CENIZAS (%),CARBOHIDRATOS (%),TPC_dieta_media__dup1,TPC_dieta_sd__dup1,TPC_larva_media__dup1,TPC_larva_sd__dup1,Tratamiento_prod,Dieta_comp_prod,Trat_comp_prod,Tratamiento_larv,Dieta_comp_larv,Trat_comp_larv,Dieta_comp,Trat_comp
Tenebrio,main,Hoja50,Hoja50,3,2,hoja,50,none,none,10.49072671409911,0.10668408454448247,2.6211503194283647,0.14910195628900139,6.562415910266292,0.1594598544723048,4.510954301923732,0.14919109184229323,75.81475275428251,0.10809334164731511,0.13837315737347075,4.0023369267837285,2.503639665998805,2.537919739777159,0.02021258366716269,0.45009311341666675,0.021669972613405614,2.3466320535592295,20.6,0.42040816326530617,11.45,1.6357142857142857,366,5313,44.6843260049324,32.938681139309004,6.168351228545336,4.422540942147262,11.786100685066003,2.537919739777159,0.02021258366716269,0.45009311341666675,0.021669972613405614,3,Hoja50,3,3,Hoja50,3,Hoja50,3
Tenebrio,main,Hoja50,Hoja50,3,3,hoja,50,none,none,10.49072671409911,0.10668408454448247,2.6211503194283647,0.14910195628900139,6.562415910266292,0.1594598544723048,4.510954301923732,0.14919109184229323,75.81475275428251,0.10809334164731511,0.13837315737347075,4.0023369267837285,2.503639665998805,2.537919739777159,0.02021258366716269,0.45009311341666675,0.021669972613405614,2.0746316610822966,24.299999999999997,0.4959183673469387,7.533333333333333,1.0761904761904761,267,5548,42.989985228223965,30.83825771737037,6.4980801744831735,4.150126075016483,15.523550804905994,2.537919739777159,0.02021258366716269,0.45009311341666675,0.021669972613405614,3,Hoja50,3,3,Hoja50,3,Hoja50,3
Tenebrio,main,Orujo30,Orujo30,4,1,orujo,30,none,none,14.000435520044528,0.19816943268451062,6.40371155516793,0.1558387073775635,7.682135902557192,0.18211188143382576,6.607263314158428,0.09741891007910292,65.30645370807191,0.44948054631571455,0.21438058147558037,2.186300147880003,1.1996380280991181,0.8428948276067639,0.08326475592278439,0.3164872039166667,0.018574988219418487,3.1439875653525506,,,22.25,3.1785714285714284,569,4665,44.05632136428663,32.53426521432142,6.992211302441498,4.133463033246155,12.283739085704283,0.8428948276067639,0.08326475592278439,0.3164872039166667,0.018574988219418487,4,Orujo30,4,4,Orujo30,4,Orujo30,4
Tenebrio,main,Orujo30,Orujo30,4,2,orujo,30,none,none,14.000435520044528,0.19816943268451062,6.40371155516793,0.1558387073775635,7.682135902557192,0.18211188143382576,6.607263314158428,0.09741891007910292,65.30645370807191,0.44948054631571455,0.21438058147558037,2.186300147880003,1.1996380280991181,0.8428948276067639,0.08326475592278439,0.3164872039166667,0.018574988219418487,2.836584452855301,40.2,0.8204081632653062,22.733333333333334,3.2476190476190476,553,4636,47.979408918219136,24.120122407459732,7.846078090856664,4.5837519356388015,15.470638647825666,0.8428948276067639,0.08326475592278439,0.3164872039166667,0.018574988219418487,4,Orujo30,4,4,Orujo30,4,Orujo30,4
Tenebrio,main,Orujo30,Orujo30,4,3,orujo,30,none,none,14.000435520044528,0.19816943268451062,6.40371155516793,0.1558387073775635,7.682135902557192,0.18211188143382576,6.607263314158428,0.09741891007910292,65.30645370807191,0.44948054631571455,0.21438058147558037,2.186300147880003,1.1996380280991181,0.8428948276067639,0.08326475592278439,0.3164872039166667,0.018574988219418487,2.915674130538352,46.3,0.9448979591836734,25.5,3.642857142857143,598,4470,47.50313823303477,27.32239382072027,6.047549482709854,4.1449752235759485,14.98194323995915,0.8428948276067639,0.08326475592278439,0.3164872039166667,0.018574988219418487,4,Orujo30,4,4,Orujo30,4,Orujo30,4
Tenebrio,main,Orujo50,Orujo50,5,1,orujo,50,none,none,13.371655848653822,0.14580611475837912,7.36504855744731,0.09653505161392979,12.0426274579943,0.5024576026447334,7.349179870575187,0.16141691216250995,59.87148826532938,0.5665567735697772,0.22333929280988213,1.815555694487963,1.635104964218758,1.190755286633752,0.03839849552646363,0.37229622903333337,0.02388389831739448,2.5304478625843077,31.099999999999998,0.6346938775510204,17.383333333333333,2.4833333333333334,479,4957,46.60615150745108,29.508676757486988,6.883878124957462,4.402752230845754,12.59854137925872,1.190755286633752,0.03839849552646363,0.37229622903333337,0.02388389831739448,5,Orujo50,5,5,Orujo50,5,Orujo50,5
Tenebrio,main,Orujo50,Orujo50,5,2,orujo,50,none,none,13.371655848653822,0.14580611475837912,7.36504855744731,0.09653505161392979,12.0426274579943,0.5024576026447334,7.349179870575187,0.16141691216250995,59.87148826532938,0.5665567735697772,0.22333929280988213,1.815555694487963,1.635104964218758,1.190755286633752,0.03839849552646363,0.37229622903333337,0.02388389831739448,2.5634586812312974,35.800000000000004,0.7306122448979593,20.416666666666668,2.916666666666667,550,4775,47.61168446896416,27.051914450448447,7.148426506261756,4.150758910564774,14.037215663760861,1.190755286633752,0.03839849552646363,0.37229622903333337,0.02388389831739448,5,Orujo50,5,5,Orujo50,5,Orujo50,5
Tenebrio,main,Orujo50,Orujo50,5,3,orujo,50,none,none,13.371655848653822,0.14580611475837912,7.36504855744731,0.09653505161392979,12.0426274579943,0.5024576026447334,7.349179870575187,0.16141691216250995,59.87148826532938,0.5665567735697772,0.22333929280988213,1.815555694487963,1.635104964218758,1.190755286633752,0.03839849552646363,0.37229622903333337,0.02388389831739448,2.8655432683868702,33.6,0.6857142857142857,21.766666666666666,3.1095238095238096,529,4694,47.14274409630263,27.92738392652484,10.116941650332688,4.380697809636178,10.432232517203659,1.190755286633752,0.03839849552646363,0.37229622903333337,0.02388389831739448,5,Orujo50,5,5,Orujo50,5,Orujo50,5
Tenebrio,main,Orujo70,Orujo70,6,1,orujo,70,none,none,13.198231100112396,0.4294138637618748,9.127437486218383,0.0629813889658407,12.565106575312123,0.25963188440281143,9.405016051953547,0.22053035612330954,55.70420878640354,0.6086308129416571,0.23693418123432466,1.4459952336064255,1.3766302529361953,1.5938720152395927,0.004214679260188941,0.3561315510333333,0.023620310614804595,2.749743155859068,22.9,0.4673469387755102,15.166666666666666,2.1666666666666665,420,5090,42.989125105205865,33.99639297229771,8.500363988375387,4.012278194599919,10.501839739521131,1.5938720152395927,0.004214679260188941,0.3561315510333333,0.023620310614804595,6,Orujo70,6,6,Orujo70,6,Orujo70,6
Tenebrio,main,Orujo70,Orujo70,6,2,orujo,70,none,none,13.198231100112396,0.4294138637618748,9.127437486218383,0.0629813889658407,12.565106575312123,0.25963188440281143,9.405016051953547,0.22053035612330954,55.70420878640354,0.6086308129416571,0.23693418123432466,1.4459952336064255,1.3766302529361953,1.5938720152395927,0.004214679260188941,0.3561315510333333,0.023620310614804595,2.5230927129661307,28.500000000000004,0.5816326530612246,14.75,2.107142857142857,424,5115,42.37318058656684,34.44676906613139,6.555086363557343,3.8440833067265294,12.780880677017905,1.5938720152395927,0.004214679260188941,0.3561315510333333,0.023620310614804595,6,Orujo70,6,6,Orujo70,6,Orujo70,6
