species,study_block,diet_name,Dieta,byproduct_type,inclusion_pct,water_condition,processing,Proteína (%)_media,Proteína (%)_sd,Grasa (%)_media,Grasa (%)_sd,Fibra (%)_media,Fibra (%)_sd,Cenizas (%)_media,Cenizas (%)_sd,Carbohidratos (%)_media,Carbohidratos (%)_sd,ratio_P_C,ratio_P_F,ratio_Fibra_Grasa,TPC_dieta_media,TPC_dieta_sd,TPC_larva_media,TPC_larva_sd,PROTEINA (%)_sd,GRASA (%)_sd,QUITINA (%)_sd,CENIZAS (%)_sd,CARBOHIDRATOS (%)_sd,TPC_dieta_media__dup1,TPC_dieta_sd__dup1,PROTEINA (%)_mean,GRASA (%)_mean,QUITINA (%)_mean,CENIZAS (%)_mean,CARBOHIDRATOS (%)_mean,TPC_larva_media__dup1,TPC_larva_sd__dup1,Tratamiento,Dieta_comp,Trat_comp
Hermetia,main,Quinoa50,Quinoa50,quinoa,50,none,none,14.960210945658536,0.3310089231700561,3.1382888319975244,0.0393537389293852,3.197361099238897,0.1507983079949651,16.07656084334874,0.06911537208812975,62.62757827975631,0.43687221705300955,0.23887576937481972,4.76699620287542,1.0188230817505006,0.2666803309291842,0.05357740941985548,0.38403531333333335,0.013623404254822159,1.3927037517726322,3.536294000388291,0.5386602927572294,3.99239307823287,1.3492986825873605,0.2666803309291842,0.05357740941985548,29.829990639539393,12.668964732908142,8.463661756696707,20.875604536080854,28.161778334774905,0.38403531333333335,0.013623404254822159,10,,
Tenebrio,main,Control,Control,control,0,none,none,14.567601466918289,0.33906996252867083,2.8470480933175835,0.06518742527810235,2.4154389118111905,0.17852236612128386,3.138910062044822,0.07968738423936417,77.03100146590812,0.4410624504853927,0.18911348924063415,5.116738807858733,0.8484011624111867,0.2319347983131488,0.002182461539146465,0.3212294016333334,0.023088188848924034,0.538600027630626,2.7120810088299088,0.40424944834516585,0.1744136325116088,1.8584707060974626,0.2319347983131488,0.002182461539146465,43.284850992210714,35.18519916920197,6.3255384357081645,3.93464229996899,11.269769102910155,0.3212294016333334,0.023088188848924034,0,Control,0
Tenebrio,water_control,Control Agar,Control Agar,control,0,agar,none,12.755333333333333,0.5485183071997988,1.2466666666666668,0.07371114795832,,,1.5785999999999998,0.015256801761837325,,,,10.231550802139036,,,,,,0.40732828693000234,0.6268439465555473,,0.040045765485670556,,,,36.26866666666667,36.18666666666667,,3.4321333333333333,,,,A,Control,A
Tenebrio,water_control,Control Humedad superf,Control Humedad superf,control,0,humidity,none,12.755333333333333,0.5485183071997988,1.2466666666666668,0.07371114795832,,,1.5785999999999998,0.015256801761837325,,,,10.231550802139036,,,,,,1.1159087477627097,0.42193996413392026,,0.03487534946061475,,,,39.18833333333333,37.46666666666666,,3.378,,,,A,Control,A
Tenebrio,water_control,Control Seco,Control Seco,control,0,dry,none,12.755333333333333,0.5485183071997988,1.2466666666666668,0.07371114795832,,,1.5785999999999998,0.015256801761837325,,,,10.231550802139036,,,,,,0.4546716764142357,2.0700966161027394,,0.028178064754935277,,,,42.03766666666667,31.69,,3.592833333333333,,,,A,Control,A
Tenebrio,main,Hoja15,Hoja15,hoja,15,none,none,12.911599935501046,0.18651161029155525,2.4773066004253903,0.10457292781008963,3.813707076257758,0.15137718871719116,2.71744111467461,0.22872885775625615,78.07994527314119,0.4408832842757676,0.16536384458689576,5.211950726358995,1.539457035961107,0.9937190613754217,0.052005898814380946,0.36392556179999996,0.029127622514583496,2.496340516405974,1.1901451051814578,0.18767641494519297,0.2637345795505749,2.197383600838889,0.9937190613754217,0.052005898814380946,45.72161211473815,34.55650912661236,5.8364309581963285,4.134091623169114,9.751356177284038,0.36392556179999996,0.029127622514583496,1,Hoja15,1
Tenebrio,main,Hoja30,Hoja30,hoja,30,none,none,11.924123246829746,0.19353356212514738,2.7462504293267767,0.04897639094433392,5.037089982846193,0.08167465680920993,3.4822581363481775,0.26151532270186884,76.81027820464911,0.0384370419303048,0.15524124538463152,4.341965000530872,1.834169939148994,1.733933803001073,0.01974932559868793,0.3993213173333334,0.023432252821544777,1.450974686892953,0.8713137161600173,0.7537791811230641,0.29521210543868526,1.7676359476584547,1.733933803001073,0.01974932559868793,43.80051738181635,31.420339538283503,6.88395185248183,4.407689799135489,13.487501428282831,0.3993213173333334,0.023432252821544777,2,Hoja30,2
Tenebrio,main,Hoja50,Hoja50,hoja,50,none,none,10.49072671409911,0.10668408454448247,2.6211503194283647,0.14910195628900139,6.562415910266292,0.1594598544723048,4.510954301923732,0.14919109184229323,75.81475275428251,0.10809334164731511,0.13837315737347075,4.0023369267837285,2.503639665998805,2.537919739777159,0.02021258366716269,0.45009311341666675,0.021669972613405614,0.9389346213466991,1.6897785066235413,0.16536188513912756,0.24467999990609304,1.996533152639164,2.537919739777159,0.02021258366716269,43.60341747516117,32.652757062586936,6.325816183299158,4.168979574695849,13.249029704256879,0.45009311341666675,0.021669972613405614,3,Hoja50,3
Tenebrio,coffee_orujillo,Orujillo15,Orujillo15,orujillo,15,none,none,11.477033333333333,0.48002207047113,2.8546666666666667,0.08279771284305565,,,1.5713099999999998,0.01917877060873487,,,,4.020446053246147,,,,,,0.6355173745330106,0.7876759062795662,,0.05711972805724257,,,,35.437333333333335,38.10666666666666,,3.461033333333333,,,,D,Orujillo15,D
Tenebrio,coffee_orujillo,Orujillo30,Orujillo30,orujillo,30,none,none,10.198733333333331,0.4115258337424613,4.462666666666666,0.09188427772779131,,,1.5640199999999997,0.023100739455632416,,,,2.285345085150881,,,,,,0.7201120283215231,0.35004761580867283,,0.07667726738306042,,,,33.20466666666667,41.666666666666664,,3.529866666666667,,,,E,Orujillo30,E
Tenebrio,coffee_orujillo,Orujillo50,Orujillo50,orujillo,50,none,none,8.494333333333334,0.32019751810423636,6.6066666666666665,0.10399969757410552,,,1.5543,0.02833003125149581,,,,1.2857214934409689,,,,,,0.315905049025811,2.1923275302746177,,0.04450014981248171,,,,32.532000000000004,45.75,,3.5415666666666668,,,,F,Orujillo50,F
Tenebrio,main,Orujo30,Orujo30,orujo,30,none,none,14.000435520044528,0.19816943268451062,6.40371155516793,0.1558387073775635,7.682135902557192,0.18211188143382576,6.607263314158428,0.09741891007910292,65.30645370807191,0.44948054631571455,0.21438058147558037,2.186300147880003,1.1996380280991181,0.8428948276067639,0.08326475592278439,0.3164872039166667,0.018574988219418487,2.1407940990853844,4.246880125493811,0.8996461897453196,0.2567156757948539,1.7163652330218795,0.8428948276067639,0.08326475592278439,46.512956171846845,27.992260480833806,6.961946292002672,4.287396730820301,14.245440324496366,0.3164872039166667,0.018574988219418487,4,Orujo30,4
Tenebrio,main,Orujo50,Orujo50,orujo,50,none,none,13.371655848653822,0.14580611475837912,7.36504855744731,0.09653505161392979,12.0426274579943,0.5024576026447334,7.349179870575187,0.16141691216250995,59.87148826532938,0.5665567735697772,0.22333929280988213,1.815555694487963,1.635104964218758,1.190755286633752,0.03839849552646363,0.37229622903333337,0.02388389831739448,0.503145640978101,1.2451649726093246,1.7951215263291076,0.13955818874056963,1.814689196054773,1.190755286633752,0.03839849552646363,47.120193357572624,28.162658378153424,8.049748760517302,4.311402983682235,12.355996520074413,0.37229622903333337,0.02388389831739448,5,Orujo50,5
Tenebrio,main,Orujo70,Orujo70,orujo,70,none,none,13.198231100112396,0.4294138637618748,9.127437486218383,0.0629813889658407,12.565106575312123,0.25963188440281143,9.405016051953547,0.22053035612330954,55.70420878640354,0.6086308129416571,0.23693418123432466,1.4459952336064255,1.3766302529361953,1.5938720152395927,0.004214679260188941,0.3561315510333333,0.023620310614804595,0.31059282322579146,0.2381578727240458,1.3327738957484396,0.14090818003145208,1.412931252013501,1.5938720152395927,0.004214679260188941,42.704397840537546,34.17682421017495,7.0016516710312855,3.99345641004478,12.123669868211445,0.3561315510333333,0.023620310614804595,6,Orujo70,6
Tenebrio,main,Orujo90,Orujo90,orujo,90,none,none,13.624580916264671,0.2370019323319747,10.643031676665474,0.11494175407915161,15.076772212018474,0.1641570030700925,11.438657140056351,0.09839439228939188,49.216958054995025,0.2706935639036396,0.27682696076097524,1.280140972063078,1.416586238775728,2.1321173694778,0.04515570988394527,0.382553387,0.04350753035799807,1.6416243446619754,2.6926453487281137,1.3776739692293443,0.19194599747056457,1.8181438388070201,2.1321173694778,0.04515570988394527,40.80488888504026,35.95774827619571,7.317344738886131,4.074818583641029,11.84519951623687,0.382553387,0.04350753035799807,7,Orujo90,7
Tenebrio,coffee_orujillo,Posos café horno15,Posos café horno15,cafe,15,none,oven,12.872783333333333,0.4834391802504452,2.774166666666667,0.07935776885306196,,,1.5516599999999998,0.01631741571404216,,,,4.640234304595974,,,,,,0.9829282781566521,0.11135528725659982,,0.061537982850702375,,,,40.555,11.43,,3.7637666666666667,,,,C,Posos café horno15,C
Tenebrio,coffee_orujillo,Posos café liof15,Posos café liof15,cafe,15,none,lyophilized,12.821983333333334,0.48611447618455644,2.785166666666667,0.12373843437892508,,,1.5444549999999997,0.017135402806091167,,,,4.603668242475016,,,,,,3.783021279348033,0.2121320343559635,,0.05720493859799183,,,,50.916,19.979999999999997,,5.1770499999999995,,,,B,Posos café liof15,B
Tenebrio,main,Quinoa15,Quinoa15,quinoa,15,none,none,13.348475514810232,0.1323462387564848,3.05089285903678,0.033465270250168475,3.0695304507899555,0.05242711936209403,4.5870887119669925,0.12722016260607913,75.94401246339605,0.26440844080950465,0.17576731965859732,4.375268530086821,1.0061088974979802,0.20085973621668804,0.022879377224978726,0.410192565,0.02257171173175996,1.8548788020937281,1.8060728630782794,2.381108805408839,0.19840437104008452,2.1553420229456988,0.20085973621668804,0.022879377224978726,48.345332293743674,30.811303937228463,7.841968465382936,3.971175376935284,9.030219926709643,0.410192565,0.02257171173175996,8,Quinoa15,8
Tenebrio,main,Quinoa30,Quinoa30,quinoa,30,none,none,12.378629282271184,0.12891135655875782,2.984267908635539,0.071586706641599,2.943067844201772,0.13588288237585938,5.874906566151329,0.13272677696929425,75.81912839874018,0.013106746889183802,0.1632652543454571,4.147961798755165,0.9861942474016671,0.254905602260889,0.005866738044077139,0.38109600000000005,0.011090279793404654,1.12177955782251,2.1850743622765547,0.9829588929131529,0.3101199688475807,2.7034946842156913,0.254905602260889,0.005866738044077139,46.57459604146075,31.738361671496975,8.540756521942331,3.9215411442344,9.224744620865536,0.38109600000000005,0.011090279793404654,9,Quinoa30,9
Tenebrio,main,Quinoa50,Quinoa50,quinoa,50,none,none,11.234353513755332,0.12687778819808443,2.8406258372222575,0.045646676549768714,2.852651813388301,0.11493394257768662,8.00136826614673,0.06446206864985822,75.07100056948738,0.19699233436536426,0.1496497106543367,3.9548867600039115,1.004233565719378,0.28632851350322497,0.013634691119201181,0.36937492000000005,0.0827569352599437,0.46980260734159357,1.6046048817484135,1.3184352515654887,0.1106349541250672,0.3962244305812096,0.28632851350322497,0.013634691119201181,46.71908957926801,29.76052804735279,8.569284411518725,3.991100613659242,10.959997348201236,0.36937492000000005,0.0827569352599437,10,Quinoa50,10
