species,study_block,diet_name,Dieta,Tratamiento,Replica,byproduct_type,inclusion_pct,water_condition,processing,Proteína (%)_media,Proteína (%)_sd,Grasa (%)_media,Grasa (%)_sd,Fibra (%)_media,Fibra (%)_sd,Cenizas (%)_media,Cenizas (%)_sd,Carbohidratos (%)_media,Carbohidratos (%)_sd,ratio_P_C,ratio_P_F,ratio_Fibra_Grasa,TPC_dieta_media,TPC_dieta_sd,TPC_larva_media,TPC_larva_sd,FCR,Ganancia de peso (mg) por larva,Ganancia de peso (mg) media diaria por larva,Reducción (%) del sustrato (reducción de la masa de dieta suministrada),Reducción diaria (%) del sustrato (reducción diaria de la masa de dieta suministrada),Peso total de las larvas (g) al finalizar el periodo de alimentación,Peso total del sustrato (g) al finalizar el periodo de alimentación,PROTEINA (%),GRASA (%),QUITINA (%),CENIZAS (%),CARBOHIDRATOS (%),TPC_dieta_media__dup1,TPC_dieta_sd__dup1,TPC_larva_media__dup1,TPC_larva_sd__dup1
Hermetia,main,Hoja50,Hoja50,3,2,hoja,50,none,none,13.511367889574666,0.19193321187865348,2.931320751170547,0.041274442203307025,7.77300881328658,0.19748936955887736,14.292793327531937,0.16302941822839098,61.49150921843627,0.2118036838143485,0.21972737474336884,4.609310627020005,2.6517087255574574,2.484336499057168,0.3435995093582646,0.31178973627940126,0.020487450403836874,2.6518763608162033,42.92,3.5766666666666667,43.47835178881768,3.6231959824014734,845.0,2599.3595919689888,23.384593109734844,14.04991629686656,12.567770356813398,20.83077966890452,29.166940567680683,2.484336499057168,0.3435995093582646,0.31178973627940126,0.020487450403836874
Hermetia,main,Hoja50,Hoja50,3,3,hoja,50,none,none,13.511367889574666,0.19193321187865348,2.931320751170547,0.041274442203307025,7.77300881328658,0.19748936955887736,14.292793327531937,0.16302941822839098,61.49150921843627,0.2118036838143485,0.21972737474336884,4.609310627020005,2.6517087255574574,2.484336499057168,0.3435995093582646,0.31178973627940126,0.020487450403836874,,36.75,3.0625,,,265.0,,24.04987521687871,13.19124467457643,9.537156155963077,21.16850198887794,32.05322196370385,2.484336499057168,0.3435995093582646,0.31178973627940126,0.020487450403836874
Hermetia,main,Orujo30,Orujo30,4,1,orujo,30,none,none,16.62601269111408,0.017578907825086695,5.906098303128011,0.14155628049713287,7.152747425188909,0.2994254139904554,19.922816493554546,0.15656335983322817,50.392325087014456,0.5429949749028347,0.3299314461558437,2.815058578064735,1.2110782885887021,0.7857406615769995,0.11015796468849914,0.35114333570919454,0.04441209603221388,2.3521028656120615,128.91,10.7425,59.580844378692014,4.965070364891001,1237.0,1828.6117730615315,31.314123313447407,14.996212058078441,8.383470861574407,21.778167413744065,23.528026353155667,0.7857406615769995,0.11015796468849914,0.35114333570919454,0.04441209603221388
Hermetia,main,Orujo30,Orujo30,4,2,orujo,30,none,none,16.62601269111408,0.017578907825086695,5.906098303128011,0.14155628049713287,7.152747425188909,0.2994254139904554,19.922816493554546,0.15656335983322817,50.392325087014456,0.5429949749028347,0.3299314461558437,2.815058578064735,1.2110782885887021,0.7857406615769995,0.11015796468849914,0.35114333570919454,0.04441209603221388,1.4572856601174848,127.06,10.588333333333333,60.80187985711415,5.066823321426179,1978.5,1773.2904880627293,28.651274165528747,7.23386389743508,9.720469842471934,20.188802933108345,34.20558916145589,0.7857406615769995,0.11015796468849914,0.35114333570919454,0.04441209603221388
Hermetia,main,Orujo30,Orujo30,4,3,orujo,30,none,none,16.62601269111408,0.017578907825086695,5.906098303128011,0.14155628049713287,7.152747425188909,0.2994254139904554,19.922816493554546,0.15656335983322817,50.392325087014456,0.5429949749028347,0.3299314461558437,2.815058578064735,1.2110782885887021,0.7857406615769995,0.11015796468849914,0.35114333570919454,0.04441209603221388,1.7563751762597888,101.64999999999999,8.470833333333333,60.3100908003062,5.025840900025517,1644.5,1795.637518120277,31.000396803435077,8.240207056772794,8.620967694308014,19.649573673059162,32.48885477242496,0.7857406615769995,0.11015796468849914,0.35114333570919454,0.04441209603221388
Hermetia,main,Orujo50,Orujo50,5,1,orujo,50,none,none,14.938606833385997,0.2688634092093174,7.274674729583903,0.12625252628746414,11.503108701660596,0.11780908661050195,15.247486574423315,0.3189420197715929,51.0361231609462,0.5241782342609606,0.29270653623661796,2.0535085606831602,1.5812540256791043,0.9272824049558074,0.13719985447506824,0.3163595272036113,0.029121313151899458,2.1749152637083515,108.3,9.025,52.75726255879272,4.39643854656606,1195.5,2151.1013007588203,32.02004533085088,13.563159542142506,9.411810502258124,18.931573606496396,26.073411018252088,0.9272824049558074,0.13719985447506824,0.3163595272036113,0.029121313151899458
Hermetia,main,Orujo50,Orujo50,5,2,orujo,50,none,none,14.938606833385997,0.2688634092093174,7.274674729583903,0.12625252628746414,11.503108701660596,0.11780908661050195,15.247486574423315,0.3189420197715929,51.0361231609462,0.5241782342609606,0.29270653623661796,2.0535085606831602,1.5812540256791043,0.9272824049558074,0.13719985447506824,0.3163595272036113,0.029121313151899458,1.5794269062558448,125.47999999999999,10.456666666666665,59.12455152680503,4.927045960567086,1790.0,1855.1865290288645,33.161725303735146,8.91173217208604,8.957214793140318,19.507704674452405,29.46162305658609,0.9272824049558074,0.13719985447506824,0.3163595272036113,0.029121313151899458
Hermetia,main,Orujo50,Orujo50,5,3,orujo,50,none,none,14.938606833385997,0.2688634092093174,7.274674729583903,0.12625252628746414,11.503108701660596,0.11780908661050195,15.247486574423315,0.3189420197715929,51.0361231609462,0.5241782342609606,0.29270653623661796,2.0535085606831602,1.5812540256791043,0.9272824049558074,0.13719985447506824,0.3163595272036113,0.029121313151899458,1.4453746488341468,123.61999999999998,10.301666666666664,55.98924213748775,4.665770178123979,1841.0,1988.258006510111,31.260408162746693,10.621564385820042,9.420521963608028,20.315620205446816,28.38188528237842,0.9272824049558074,0.13719985447506824,0.3163595272036113,0.029121313151899458
Hermetia,main,Orujo70,Orujo70,6,1,orujo,70,none,none,14.352349432602495,0.21281400203907744,9.500661670357212,0.1069723939447647,14.993036730015456,0.277608593129019,13.500152810049789,0.31360788887568486,47.65379935697505,0.37597450424623563,0.30117954132238045,1.5106684071681993,1.578104478427526,1.44256685277738,0.023860790734826314,0.393267640769779,0.01544897949924926,1.9396447447735068,71.38000000000001,5.948333333333334,39.2548227534817,3.271235229456808,1011.0,2761.396717849312,28.145262440510347,18.190368822795868,16.77032938549876,17.27304737237678,19.620991978818253,1.44256685277738,0.023860790734826314,0.393267640769779,0.01544897949924926
Hermetia,main,Orujo70,Orujo70,6,2,orujo,70,none,none,14.352349432602495,0.21281400203907744,9.500661670357212,0.1069723939447647,14.993036730015456,0.277608593129019,13.500152810049789,0.31360788887568486,47.65379935697505,0.37597450424623563,0.30117954132238045,1.5106684071681993,1.578104478427526,1.44256685277738,0.023860790734826314,0.393267640769779,0.01544897949924926,1.912451701341775,94.19,7.849166666666666,40.241232695435734,3.353436057952978,1045.5,2710.7955444639388,27.19851217684783,14.454620162311741,13.941705415181081,16.462882545235733,27.94227970042361,1.44256685277738,0.023860790734826314,0.393267640769779,0.01544897949924926
